English	中文
lazy mode	惰性模式
lazy vacuum	惰性清理
leader	领导者
leader-based replication	基于领导者的复制
leaderless	无主
Lightweight Locks	轻量级锁
line pointer	行指针
linearizability	线性一致性
load	负载
Local Cache	本地缓存
locale	区域设置
Lock Design	锁设计
locking clauses	锁定子句
log compaction	日志压实
Log Sequence Number	日志序列号
log-structured	日志结构
logical decoding	逻辑解码
logical replication	逻辑复制
Logical Structure	逻辑结构
loose coupling	松耦合
Lost Update	丢失更新
LSN	日志序列号
LWW	最后写入胜出
main data	主数据
maintainability	可维护性
marshalling	编组
master	主库
master/slave	主库/从库
materialization	物化
Materialize	物化
Materialized Merge Join	物化归并连接
materialized nested loop join	物化嵌套循环连接
Materializing conflicts	物化冲突
MCV	高频值
median	中位数
Merge Join	归并连接
Merging Sorted Sets	归并有序集合
migration	迁移
Minmax Classes	Minmax 操作符类
Minmax-Multi Classes	Minmax-Multi 操作符类
Miscellaneous Locks	杂项锁
monotonic reads	单调读
Most Common Value	高频值
Most Common Values	高频值
most_common_freqs	高频值频率
most_common_vals	高频值
moving-aggregate mode	移动聚合模式
multi-table index cluster tables	多表索引簇表
Multi-version Concurrency Control	多版本并发控制
Multitransactions	多事务
Multivariate Statistics	多元统计信息
multiversion concurrency control	多版本并发控制
MVCC	多版本并发控制
Nearest Neighbor Search	最近邻搜索
Nested Loop	嵌套循环
Nested Loop Join	嵌套循环连接
network partitions	网络分区
No-Wait Locks	无等待加锁
Non-Atomic Writes	非原子写
Non-Equi-joins	非等值连接
Non-greedy	非贪婪
non-key	非键
Non-Object Locks	非对象锁
Non-Parallelizable Queries	无法并行化的查询
non-recursive term	非递归项
Non-Repeatable Read	不可重复读
non-reserved	非保留
NULL Values	空值
OAuth Token	OAuth 令牌
Object Identifiers	对象标识符
OCC	乐观并发控制
offset number	偏移号
OID	对象标识符
operator	操作符
operator class	操作符类
operator family	操作符族
Optimistic Concurrency Control	乐观并发控制
ordered-set aggregate	有序集聚合
ordering	顺序
Other Data Types	其他数据类型
Other Rebuilding Methods	其他重建方式
Outer Joins	外连接
Page Header	页头
Page Layout	页面布局
Page Locks	页锁
Page Pruning	页内剪枝
page replacement algorithms	页面置换算法
Page Structure	页面结构
pages	页
parallel index build	并行索引构建
Parallel Index Scans	并行索引扫描
Parallel Mode	并行模式
Parallel Plans	并行计划
Parallel Sequential Scans	并行顺序扫描
Parameter Binding	参数绑定
parameterized (index) path	参数化（索引）路径
Parameterized Joins	参数化连接
parameterized path	参数化路径
parse tree	语法解析树
Parser	解析器
partial aggregation	部分聚合
partial index	部分索引
Partial Mode	部分模式
partition bounds	分区边界
partition key	分区键
Partition pruning	分区剪枝
partitioned table	分区表
partitioning	分区
partitioning method	分区方法
peer group	同等行组
percentiles	百分位点
performance	性能
